Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(5),Chrome 150.0.7871.128,,,21-07-2026 16:03:05,21-07-2026 16:03:10,5.007s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Sesuai_2""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:10,21-07-2026 16:03:10,0.320s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto_4""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:10,21-07-2026 16:03:11,0.546s,PASSED
delay(5),Chrome 150.0.7871.128,,,21-07-2026 16:03:11,21-07-2026 16:03:16,5.010s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Tidak Sesuai_2""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:16,21-07-2026 16:03:16,0.358s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_Batal""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:16,21-07-2026 16:03:16,0.005s,NOT_RUN
delay(2),Chrome 150.0.7871.128,,,21-07-2026 16:03:16,21-07-2026 16:03:18,2.018s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_FormHasilKunjungan""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:18,21-07-2026 16:03:18,0.317s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Nama Sumber Informasi 1 _""), ""Mina"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:18,21-07-2026 16:03:19,0.672s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Jabatan Sumber Informasi 1_1""), ""ART"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:19,21-07-2026 16:03:19,0.602s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Nama Sumber Informasi 2 _""), ""Memet"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:19,21-07-2026 16:03:21,1.203s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Jabatan Sumber Informasi 2_2""), ""Security"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:21,21-07-2026 16:03:21,0.766s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Nama Sumber Informasi 3 __1""), ""Minda"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:21,21-07-2026 16:03:23,1.267s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Jabatan Sumber Informasi 3""), ""Karyawan"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:23,21-07-2026 16:03:23,0.623s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/textarea_Hasil Pemeriksaan RCU""), ""Tidak sesuai"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:23,21-07-2026 16:03:25,1.304s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_Unggah""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:25,21-07-2026 16:03:25,0.537s,PASSED
delay(7),Chrome 150.0.7871.128,,,21-07-2026 16:03:25,21-07-2026 16:03:32,7.008s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/select_Kategori Temuan""), ""0"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:03:32,21-07-2026 16:03:35,2.445s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/button_Draft""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:35,21-07-2026 16:03:35,0.001s,NOT_RUN
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/button_Submit""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:35,21-07-2026 16:03:35,0.629s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/button_Submit_PopUp""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:35,21-07-2026 16:03:36,0.381s,PASSED
delay(5),Chrome 150.0.7871.128,,,21-07-2026 16:03:36,21-07-2026 16:03:41,5.007s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_Home/span_Kunjungan Showroom""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:41,21-07-2026 16:03:41,0.426s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/input_TextSearch""), ""CBU/P1.3/07/26/014"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:41,21-07-2026 16:03:41,0.003s,NOT_RUN
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/div_IconSearch""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:41,21-07-2026 16:03:41,0.002s,NOT_RUN
,,,,,,,
Test Cases/Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan,Chrome 150.0.7871.128,,,21-07-2026 16:03:41,21-07-2026 16:04:44,1m - 2.777s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/SPV-CBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.128,,,21-07-2026 16:03:41,21-07-2026 16:04:16,34.529s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_Dashboard/div_b2-l1-17_9-b3-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:16,21-07-2026 16:04:20,4.495s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_Dashboard/div_b2-l1-17_9-b4-l1-35_4-b1-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:20,21-07-2026 16:04:21,0.958s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_Dashboard/a_Showroom_Supplier""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:21,21-07-2026 16:04:22,0.304s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroom/input_StartDate""), ""21-07-2026"")",Chrome 150.0.7871.128,,,21-07-2026 16:04:22,21-07-2026 16:04:25,3.074s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroom/input_EndDate""), ""21-07-2026"")",Chrome 150.0.7871.128,,,21-07-2026 16:04:25,21-07-2026 16:04:25,0.609s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroom/select_b3-b1-DropdownCabang""), ""2"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:04:25,21-07-2026 16:04:26,0.549s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroom/select_Select Status""), ""0"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:04:26,21-07-2026 16:04:26,0.000s,NOT_RUN
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroom/button_Cari""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:26,21-07-2026 16:04:26,0.302s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroom/button_Persetujuan""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:26,21-07-2026 16:04:28,1.723s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroomDetail/button_Lihat Foto""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:28,21-07-2026 16:04:30,2.077s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroomDetail/button_Lihat Foto_1""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:30,21-07-2026 16:04:31,1.491s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroomDetail/button_Lihat Foto_2""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:31,21-07-2026 16:04:32,0.982s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroomDetail/button_Lihat Foto_3""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:32,21-07-2026 16:04:33,0.819s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroomDetail/button_Lihat Dokumen""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:33,21-07-2026 16:04:34,0.764s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroomDetail/select_b3-b2-Status2""), ""0"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:04:34,21-07-2026 16:04:35,0.964s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroomDetail/textarea_b3-b2-TextArea_Catatan""), ""Okay saya setujui dan akan tindak lanjut"")",Chrome 150.0.7871.128,,,21-07-2026 16:04:35,21-07-2026 16:04:36,0.697s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroomDetail/button_Submit""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:36,21-07-2026 16:04:36,0.549s,PASSED
delay(3),Chrome 150.0.7871.128,,,21-07-2026 16:04:36,21-07-2026 16:04:39,3.013s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroom/select_Select Status""), ""2"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:04:39,21-07-2026 16:04:44,4.426s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Persetujuan/Page_ApprovalKunjunganShowroom/button_Hasil""))",Chrome 150.0.7871.128,,,21-07-2026 16:04:44,21-07-2026 16:04:44,0.300s,PASSED
,,,,,,,
Test Cases/Pilar 1/Showroom-Supplier/UAT/CBU/SPV_CBU_Assign_PIC,Chrome 150.0.7871.128,,,21-07-2026 16:04:44,21-07-2026 16:05:58,1m - 14.480s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/SPV-CBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.128,,,21-07-2026 16:04:44,21-07-2026 16:05:18,33.379s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV_CBU_Assign_PIC/Page_Dashboard/div_b2-l1-17_10-b3-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 16:05:18,21-07-2026 16:05:22,4.159s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV_CBU_Assign_PIC/Page_Dashboard/div_b2-l1-17_10-b4-l1-44_4-b1-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 16:05:22,21-07-2026 16:05:22,0.527s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV_CBU_Assign_PIC/Page_Dashboard/a_Showroom_Supplier""))",Chrome 150.0.7871.128,,,21-07-2026 16:05:22,21-07-2026 16:05:23,0.336s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV_CBU_Assign_PIC/Page_TindakLanjutKunjunganShowroom/input_StartDate""), ""21-07-2026"")",Chrome 150.0.7871.128,,,21-07-2026 16:05:23,21-07-2026 16:05:29,6.660s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV_CBU_Assign_PIC/Page_TindakLanjutKunjunganShowroom/input_EndDate""), ""21-07-2026"")",Chrome 150.0.7871.128,,,21-07-2026 16:05:29,21-07-2026 16:05:30,0.592s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV_CBU_Assign_PIC/Page_TindakLanjutKunjunganShowroom/select_DropdownCabang""), ""2"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:05:30,21-07-2026 16:05:31,0.535s,PASSED
