Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto3""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:16,22-07-2026 09:29:16,0.652s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/div_kamera3""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:16,22-07-2026 09:29:17,0.357s,PASSED
"switchToWindowTitle(""KunjunganShowroomQuestionAnswer"")",Chrome 150.0.7871.129,,,22-07-2026 09:29:17,22-07-2026 09:29:17,0.036s,PASSED
delay(5),Chrome 150.0.7871.129,,,22-07-2026 09:29:17,22-07-2026 09:29:22,5.011s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Sesuai_2""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:22,22-07-2026 09:29:22,0.371s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto_4""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:22,22-07-2026 09:29:23,0.657s,PASSED
delay(5),Chrome 150.0.7871.129,,,22-07-2026 09:29:23,22-07-2026 09:29:28,5.017s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Tidak Sesuai_2""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:28,22-07-2026 09:29:28,0.321s,PASSED
delay(2),Chrome 150.0.7871.129,,,22-07-2026 09:29:28,22-07-2026 09:29:30,2.008s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/div_FormHasilKunjungan""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:30,22-07-2026 09:29:30,0.291s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Nama Sumber Informasi 1 _""), ""Nathan"")",Chrome 150.0.7871.129,,,22-07-2026 09:29:30,22-07-2026 09:29:31,0.658s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Jabatan Sumber Informasi 1_1""), ""Adik"")",Chrome 150.0.7871.129,,,22-07-2026 09:29:31,22-07-2026 09:29:32,0.676s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Nama Sumber Informasi 2 _""), ""Nadia"")",Chrome 150.0.7871.129,,,22-07-2026 09:29:32,22-07-2026 09:29:33,1.234s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Jabatan Sumber Informasi 2_2""), ""Ibu"")",Chrome 150.0.7871.129,,,22-07-2026 09:29:33,22-07-2026 09:29:34,0.650s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Nama Sumber Informasi 3 __1""), ""Nuri"")",Chrome 150.0.7871.129,,,22-07-2026 09:29:34,22-07-2026 09:29:35,1.271s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Jabatan Sumber Informasi 3""), ""Sepupu"")",Chrome 150.0.7871.129,,,22-07-2026 09:29:35,22-07-2026 09:29:36,0.632s,PASSED
